#,Term,Sinhala Term,Tamil Term,Glossary
1505,confederacy,කොන්ත‍්‍රාත්කරුවෝ,அரசியற் கூட்டு; நேச ஒப்பந்த கூட்டு,Law
1506,confederated,ගිවිසුමෙන් බැඳුණු ; ඒකාබද්ධ; ‍ෆෙඩරලීකෘත,கூட்டாட்சியான,Law
1507,confer,පිරිනමනවා; සම්මන්ත‍්‍රණය කරනවා,கூடி ஆலோசனை செய்,Law
1508,conference,සම්මේලනය,மாநாடு,Law
1509,conferred or imposed,පවරන ලද හෝ නියම කරන ලද,வழங்கப்பட்ட அல்லது சுமத்தப்பட்ட (விதிக்கப்பட்ட),Law
1510,confess,අපරාධෝච්චාරණය කරනවා,குற்றத்தை ஒப்புக்கொள்,Law
1511,confess judgment,නඩු තීන්දුවට එකඟ වීම; විනිශ්චයට එකඟවීම,ஒப்புதல் தீர்ப்பு,Law
1512,confession,අධිකරණයේදී කරන ලද අපරාධෝච්චාරණයක් වෙනත් කවර හෝ ඔප්පු කිරීමකට වඩා ප‍්‍රබලයි.,குற்ற ஒப்புதல்,Law
1513,confession and avoidance,පිළිගෙන නිදහසට කරුණු කීම,குற்றத்தை ஒப்புக்கொள்ளுதல் மற்றும் விளக்கம் கூறுதல்,Law
1514,confidence man,පළමුව විශ්වාසය දිනාගෙන පසුව වංචා කරන්නා,நம்பிக்கை மோசடி செய்பவர்,Law
1515,confidence trick,විශ්වාසය දිනා රැවටීම; විශ්වාසෝපාය,நம்பிக்கை மோசடி,Law
1516,confidential,රහස්‍ය; විශ්වසනීය,அந்தரங்கமான,Law
1517,confidential communication,එළිදරව් නොකළ යුතු දැනුම් දීම,அந்தரங்கத் தொடர்பாடல்,Law
1518,confidential information,රහස්‍ය තොරතුරු,அந்தரங்கத் தகவல்கள்,Law
1519,confidential report,රහස්‍ය වාර්තාව,அந்தரங்க அறிக்கை,Law
1520,confine,සිරකර තබනවා; සීමාකරනවා; රඳවා තබනවා,மறித்துவை; சிறைபடுத்து,Law
1521,confinement,සිරභාරය;  ප‍්‍රසූතිය,சிறைவாசம்,Law
1522,confirmation of sale,කලින් දුබලව තිබූ දෙය ස්ථිර කිරීම එය වහාම ශක්තිමත් කිරීමක් වේ.,விற்பனையை உறுதிப்படுத்தல்,Law
1523,confirmatory,ස්ථිර කරන,உறுதிப்படுத்தும்,Law
1524,confirmed credit,ස්ථිර කළ ණයවර,உறுதி செய்யப்பட்ட கடன்,Law
1525,confiscate,රාජසන්තක කරනවා ; අහිමි කරනවා,பறிமுதல் செய்,Law
1526,confiscation of property,දේපළ රාජසන්තක කිරීම,சொத்துக்களைப் பறிமுதல் செய்தல்,Law
1527,conflict,ඝට්ටනය;  ගැටීම,முரண்பாடு,Law
1528,conflict of claims,ප‍්‍රතිවිරුද්ධ හිමිකම් පෑම,கோரிக்கைகளுள் முரண்பாடு,Law
1529,conflicting opinion,ප‍්‍රතිවිරුද්ධ මතය,முரண்பாடான அபிப்பிராயம்,Law
1530,conform,පිළිපදිනවා;  අනුකූලවෙනවා,இணங்கு,Law
1531,conformity,අනුකූලතාව,இணங்கல்,Law
1532,confounded,වික්ෂිප්ත,குழம்பிய,Law
1533,confrontation,ප‍්‍රතිවිරුද්ධ මතධාරීන් මුණගැසීම,எதிர்நிலைப்பாடு,Law
1534,congenital,ණය හිමියා හා ණයකරු එකම පුද්ගලයකු බවට පත්වීම නිසා අයිතිවාසිකම් අභාවයට යාම,பிறப்புவழி,Law
1535,congregation,සමූහය,ஒன்றுறு குழாம் ;ஒன்று கூடுதல்  ;பல்கலைக்கழகப் பேரவை ; தகுதி நிரம்பிய பல்கலைக்கழக உறுப்பினர்கள் திரள் குழாம் ; திருக்கூட்டம் .,Law
1536,conjecture,අනුමානයෙන් සිතනවා; දෙගිඩියාවෙන් සිතනවා,ஊகி ; ஊகம் ; அனுமானம்,Law
1537,conjugal cohabitation,අඹුසැමි සංවාසය,மணநிலை வாழ்க்கை,Law
1538,conjugal rights,අඹුසැමි අයිතිවාසිකම්,தம்பதிகளின் உரிமைகள்,Law
1539,conjunct and several,එක්ව හා වෙන් වෙන්ව,கூட்டாக மற்றும் தனித்தனியாக,Law
1540,connivance,වංක සහයෝගය; අපසහායකත්වය,உட்கை;உடந்தை ; மறைமுக ஆதரவு.,Law
1541,conniving,වරදෙහි නිසොල්මන්වීම,உட்கைப்படு,Law
1542,connotation,ගම්‍ය අර්ථය; අරුත් ගැන්වීම; ඇඟවීම,தாத்பரியம்;உட்பொருள் ;சொல்லில் பருப்பொருளுக்குப் புறம்பாக உய்த்துணரக் கிடக்கும் பொருள்,Law
1543,connote,අඟවනවා; අරුත් ගන්නවා,உள்நுதல்;உட்படுத்து; பொருள்படு ;உள்ளார்ந்த பண்புகளை குறிப்பிலுணர்த்தல்,Law
1544,connubium,විවාහ වීමේ ‍නෛතික අයිතිය,திருமணம்,Law
1545,conquer,විජයග‍්‍රහණය කරනවා,வெற்றி கொள்,Law
1546,conquest,විජයග‍්‍රහණය,கெலித்தல் ; வெற்றிப்பேறு;அடிப்படுத்தல் ; கீழ்ப்படுத்தல் ; வென்று நிலம் கொள்ளுதல் ; வென்ற நிலப்பகுதி,Law
1547,consanguinity,ලේ නෑකම,இரத்த உறவு,Law
1548,conscience,හෘද සාක්ෂිය,மனச்சாட்சி,Law
1549,conscience of the court,අධිකරණය සතු සාධාරණාත්මක බලය,நீதிமன்றத்திற்குரித்தான நியாயமான அதிகாரம்,Law
1550,conscientiously,හෘද සාක්ෂියට එකඟව,மனச்சாட்சிக்கமைந்த,Law
1551,conscious and exclusive possession,සවිඥානක  හා අනන්‍ය භූක්තිය,உணர்வறி பிரத்தியேக உடைமை,Law
1552,consciousness,සවිඥානකත්වය,உணர்வு நிலை,Law
1553,conscript,හමුදා සේවයට බලෙන් බඳවා ගන්නවා,வல்வரை;கட்டாயப் படைத்துறைப் பணிக்குப் புதிதாகச் சேர்க்கப்பட்டவர்.,Law
1554,consecrate,අභිෂේක කරනවා; පූජනීයත්වයට පත් කරනවා,புனிதமாக்கு,Law
1555,consecutive,අනුක‍්‍රමික; අනුගාමී,அடுத்தடுத்த,Law
1556,consecutive integral number,අනුක‍්‍රමික පූර්ණ අංකය,அடுத்தடுத்துள்ள முழு எண்,Law
1557,consecutive meeting,අනුක‍්‍රමික රැස්වීම,தொடர் கூட்டம்,Law
1558,consecutive order,අනුක‍්‍රමික පිළිවෙළ,தொடர்ச்சியான ஒழுங்கு முறை,Law
1559,consecutive period,අනුක‍්‍රමික කාලසීමාව,தொடர் கால எல்லை,Law
1560,consecutively,අනුක‍්‍රමික,அடுத்தடுத்து; தொடர்ச்சியாக,Law
1561,consensual injury,අනියම් පීඩාව,கருத்தொன்றிய ஊறு,Law
1562,consensus,එකඟතාවෙන්,கருத்தொற்றுமை,Law
1563,consensus of opinion,එකම දේ පිළිබඳ එකඟතාව,ஒருமித்த கருத்து,Law
1564,consent,තමා එකඟ වූ දෙයට විරුද්ධ වීමට කෙනෙකුට නොහැකිය.,இசைவு; சம்மதம்,Law
1565,consenting party,සහමතිය දෙන පාර්ශ්වකරු; කැමතිවන පාර්ශ්වය,சம்மதிக்கும் தரப்பினர்,Law
1566,consequent liability,අපරාධයට සහමතිය දෙන අය හා අපරාධය කරන අය  එකම දණ්ඩනය යටත්ය.,விளை பொறுப்பு,Law
1567,consequential,ආනුෂංගික,விளைவாந்தன்மையான,Law
1568,consequential amendments,ආනුෂංගික සංශෝධන,விளைவாந்தன்மையான திருத்தங்கள்,Law
1569,consequential damages,ආනුෂංගික අලාභ,விளைவாந்தன்மையான நட்டங்கள்,Law
1570,consequential directions,ආනුෂංගික නියම,விளைவாந்தன்மையான கட்டளைகள்,Law
1571,consequential matters,ආනුෂංගික කාරණා,விளைவாந்தன்மையான விடயங்கள்,Law
1572,consequential provisions,ආනුෂංගික විධිවිධාන,விளைவாந்தன்மையான ஏற்பாடுகள்,Law
1573,conservancy service,කසළ ශෝධන සේවය,பேணற் சேவை,Law
1574,conserve,සංරක්ෂණය කරනවා,பேண்,Law
1575,consideration money,ප‍්‍රතිෂ්ඨා මුදල,பிரதி பயனாய பணம்,Law
1576,consign,අනුප‍රෝෂණය කරනවා,ஒப்படை,Law
1577,consignation,අනුප‍රෝෂණය  කිරීම,ஒப்படைத்தல்,Law
1578,consignation of debt,ණය තැන්පත් කිරීම,கடனை வைப்பிலிடுதல்,Law
1579,consignee,අනුප‍රෝෂණලාභියා; බඩු ලබන්නා,ஒப்படைகொளி  ;பொருள் ஒப்படைக்கப்பட்டவர் .,Law
1580,consignment account,අනුප‍රෝෂණය  ගිණුම,ஒப்படைக் கணக்கு,Law
1581,consignment note,අනුප‍රෝෂණය පත,அனுப்பீட்டுக் குறிப்பு,Law
1582,consignor,අනුප‍රෝෂකයා,ஒப்படைப்பவர்,Law
1583,consilium,උපදේශක මණ්ඩලය,ஆய்கழகம்,Law
1584,consist,සමන්විත වෙනවා,உள்ளடக்கு,Law
1585,consistent,ගැළපෙන; අනුකූල,நிலையான; ஒவ்விய,Law
1586,consolidate,ඒකාබද්ධ කරනවා,திரட்டு,Law
1587,consolidated balance sheet,ඒකාබද්ධ ශේෂ පත‍්‍රය,திரட்டிய ஐந்தொகை,Law
1588,consolidated fund,ඒකාබද්ධ අරමුදල,திரட்டு  நிதி,Law
1589,consolidated loan fund,ඒකාබද්ධ ණය අරමුදල,திரட்டுக் கடன் நிதியம்,Law
1590,consonance,අනුරූපතාව,ஒத்தியைபு,Law
1591,consort,වල්ලභයා; වල්ලභාව,வாழ்துணை,Law
1592,consortium,සහවාසය,மண உறவு; கூட்டிணைப்பு,Law
1593,conspicuous,ප‍්‍රකට; හොඳින් පෙනෙන ස්ථානය,துலாம்பரமான,Law
1594,conspicuous part,ප‍්‍රකටව පෙනෙන කොටස,துலாம்பரமாக தெரிகின்ற பகுதி,Law
1595,conspicuous place,ප‍්‍රකට ස්ථානය,துலாம்பரமான இடம்,Law
1596,conspiracy,කුමන්ත‍්‍රණය,சதி,Law
1597,conspirator,කුමන්ත‍්‍රණකරු,சதிகாரர்,Law
1598,conspiratorial,කුමන්ත‍්‍රණකාරී,சதிசார்,Law
1599,conspire,කුමන්ත‍්‍රණය කරනවා,சதிசெய்,Law
1600,constant,නියතය; අවිචල්‍යය,மாறாத,Law
1601,constituency,ඡන්ද කොට්ඨාසය,தேர்தல் தொகுதி,Law
1602,constituent assembly,ආණ්ඩුක‍්‍රම සම්පාදක මණ්ඩලය,அரசியல் நிர்ணய சபை,Law
1603,constituents,ගනුදෙනුකරුවන්; ඡන්දදායකයන්; සංඝටක,தேர்வோன்; ஆக்குகூறுகள்,Law
1604,constitute,සංයුක්ත කරනවා; පිහිටුවනවා; සංස්ථාපනය කරනවා,அமைத்துருவாக்கு;ஏற்படுத்து,Law
1605,constituted act,සංස්ථාපිත පනත,அமைத்துருவாக்கப்பட்ட சட்டம்,Law
1606,constitution,ආණ්ඩුක‍්‍රම ව්‍යවස්ථාව ;  සංස්ථාපනය ; පිහිටුවීම,அரசியலமைப்பு,Law
1607,constitution of the company,සමාගමේ ව්‍යවස්ථාව,கம்பனி யாப்பு,Law
1608,constitutional affairs,ආණ්ඩුක‍්‍රම ව්‍යවස්ථා කටයුතු,அரசியலமைப்பு அலுவல்கள்,Law
1609,constitutional council,ආණ්ඩුක‍්‍රම ව්‍යවස්ථා සභාව,அரசியலமைப்பு சபை,Law
1610,constrain  (v),පසුව පනවන ලද නීති කලින් පනවන ලද නීති අබිබවා සිටී.,நிர்ப்பந்தி; வலுக்கட்டு,Law
1611,constraint,බල කිරීම;  බාධා කිරීම,நிர்ப்பந்தித்தல்; வலுக்கட்டுப்படுத்துகை,Law
1612,construction of law,නීති නිරූපණය;නීතියේ සම්ප්‍රයුක්තය,சட்ட வியாக்கியானம்,Law
1613,constructive,අනුමිත වංචාව,அமைநிலையா; ஊகித்தறிந்த,Law
1614,constructive desertion,අනුමිත අත්හැරයාම,அமைநிலையான உறவறுப்பு,Law
1615,constructive notice,අනුමිත දැනුම්දීම,அமைநிலையான அறிவித்தல்,Law
1616,constructive possession,අනුමිත බුත්තිය; අනුමිත සන්තකය,ஆக்கபூர்வ உடைமை; அமைநிலையான உடைமை,Law
1617,constructive responsibility,අනුමිත වගකීම,அமைநிலையான பொறுப்பு,Law
1618,constructive service,අනුමිත සේවය,அமைநிலையான சேவை,Law
1619,constructive total loss,අනුමිත සම්පූර්ණ හානිය,அமைநிலையான மொத்த நட்டம்,Law
1620,constructive trust,අනුමිත භාරය,அமைநிலையான  பொறுப்பு,Law
1621,construe,තේරුම් ගන්නවා;  අර්ථ කථනය කරනවා;  අර්ථ නිරූපණය කරනවා,பொருள்கொள்,Law
1622,consul,සිරිතක් නම් නිශ්චිත විය යුතුය. අනිශ්චිතනම් එය ශූන්‍ය ලෙස සැලකේ,மதியுரைதூதர்,Law
1623,consular,වෙළඳ රාජ්‍ය දූතයා,காவற்றூதர்,Law
1624,consular immunity,රාජ්‍ය තාන්ත‍්‍රික පරිහාරය; රාජ්‍ය තාන්ත‍්‍රික විනිර්මුක්තය,காவற்றூதர் விடுபாட்டுரிமை,Law
1625,consult,අර්ධ කාල රාජ්‍ය දූතයෝ,கலந்தாய்,Law
1626,consultancy services,උපදේශක සේවා,ஆலோசனை சேவைகள்,Law
1627,consultant,උපදේශනය; උපදෙස් ලබා ගැනීම,கலந்தாயுநர்,Law
1628,consume,පරිභෝජනය කරනවා,நுகர்,Law
1629,consummate marriage,විවාහය සහවාසයෙන් පරිපූර්ණ කරනවා,மண இணைவேற்றம்,Law
1630,consummated,පරිපූර්ණ කළ,நிறைவாக்கப்பட்ட,Law
1631,contagion,ස්පර්ශයෙන් ලෙඩ බෝවීම,தொற்று,Law
1632,contagious diseases ordinance,බෝවෙන රෝග ආඥාපනත,தொற்று நோய்கள் கட்டளைகள் சட்டம்,Law
1633,contamination,කිලිටි කරනවා;  අපවිත‍්‍ර කරනවා,மாசுறல்; தூய்மைக்கேடு,Law
1634,contemporaneous agreement,සමකාලීන ගිවිසුම,சமகால உடன்படிக்கை,Law
1635,contempt (n),අවඥාව ; අපහාසය,அவமதிப்பு,Law
1636,contempt of court,අධිකරණයට අපහාස කිරීම,நீதிமன்றத்தை அவமதித்தல்,Law
1637,contend,තර්ක කරනවා; විරුද්ධ වෙනවා,வாதிடு; சர்ச்சைப்படு,Law
1638,content,ඇතුළත් කරුණු ; අන්තර්ගතය; තෘප්තිය,அடங்குபொருள்,Law
1639,contention,තර්කය; මතභේදය,சர்ச்சை; வாது,Law
1640,contentious,මත භේදයට තුඩුදෙන;  විවාදාත්මක,சர்ச்சைக்குரிய; வாதிற்குரிய,Law
1641,contentious matter,විවාදාත්මක කරුණ,வாதத்திற்குரிய விடயம்,Law
1642,contest,හබය; තරඟය,போட்டியிடு; வாதிடு,Law
1643,contested case,හබකළ නඩුව; තරඟකළ නඩුව,வாதாடப்பட்ட வழக்கு,Law
1644,contested election,තරඟ කළ ඡන්ද විමසීම,போட்டியுள்ள தேர்தல்,Law
1645,context,පද සම්බන්ධය;  පෙළ යෙදුම;  සන්දර්භය,சந்தர்ப்பம்,Law
1646,contiguous,යාබද; සමීප,தொடுத்துவரு,Law
1647,continental system,යුරෝපිය ක්‍රමය,கண்டமுறை,Law
1648,contingencies fund,අවිනිශ්චිත අවස්ථා අරමුදල,எதிர்பாராநிகழ்வு நிதியம்,Law
1649,contingency,අනිශ්චිත අවස්ථාව ; අනිශ්චිත සිද්ධිය,எதிர்பாரா நிகழ்வு,Law
1650,contingency insurance,හදිසි අවස්ථා රක්ෂණය,அவசர நிலைமைக் காப்புறுதி,Law
1651,contingent encumbrance,සම්භාවී බැඳීම,எதிர்பாராத சுமை,Law
1652,contingent liabilities,අනිශ්චිත බැරකම් ;  ආපතික වගකීම්,எதிர்பாரா பொறுப்புகள்,Law
1653,continuing contract,පවත්නා කොන්ත‍්‍රාත්තුව,தொடரும் ஒப்பந்தம்,Law
1654,continuing damages,පවත්නා අලාභය,தொடரும் நட்டம்,Law
1655,continuing offence,නොකඩවා කෙරෙන වරද,தொடர்ந்து மேற்கொள்ளும் குற்றம்,Law
1656,continuity of residence,පදිංචියේ අඛණ්ඩත්වය,வதிவுத் தொடர்ச்சி,Law
1657,continuous possession,අඛණ්ඩ භුක්තිය,தொடர்ச்சியான உடைமை,Law
1658,contour,එලය ඇතිවීමට පෙර පූර්වගාමී වූ කොන්දේසියක් සන්තෘප්ත විය යුතුය.,உருவரை,Law
1659,contraband,සුචරිතයට විරුද්ධ,கள்ளக் கடத்தற் பொருள்,Law
1660,contract,ගිවිසුම ; කොන්ත‍්‍රාත්තුව,ஒப்பந்தம்,Law
1661,contract of agency,නියෝජ්‍යත්ව ගිවිසුම,முகவர் ஒப்பந்தம்,Law
1662,contract of assurance,ආරක්ෂණ ගිවිසුම,நம்பிக்கை ஒப்பந்தம்,Law
1663,contract of co-partner,හවුල්කාර ගිවිසුම,பங்காளிகள் ஒப்பந்தம்,Law
1664,contract of employment,රැකියා ගිවිසුම,தொழில் ஒப்பந்தம்,Law
1665,contract of guarantee,ඇප ගිවිසුම,பிணை ஒப்பந்தம்,Law
1666,contract of letting and hiring,කුලියට ගැනීමේ හා කුලියට දීමේ ගිවිසුම,வாடகைக்கு எடுத்தல் மற்றும் வழங்குதல் ஒப்பந்தம்,Law
1667,contract of record,වාර්තාගත ගිවිසුම,பதிவுசெய்யப்பட்ட ஒப்பந்தம்,Law
1668,contract of sale,විකුණුම් ගිවිසුම,விற்பனை ஒப்பந்தம்,Law
1669,contract of service,සේවා කොන්ත‍්‍රාත්තුව ; සේවා ගිවිසුම,சேவை ஒப்பந்தம்,Law
1670,contract price,ගිවිසුම් මිල; ගිවිසගත් මිල,ஒப்பந்த விலை,Law
1671,contract under seal,මුද්‍රා තැබූ ගිවිසුම,முத்திரையிடப்பட்ட ஒப்பந்தம்,Law
1672,contracting party,ගිවිසුම්කාර පාර්ශ්වය,ஒப்பந்தத் தரப்பினர்,Law
1673,contraction,සොරකම් කිරීමේ චේතනාව ඇතිව තමාගේ නොවන දෙයක් නතුකර ගැනීම සොරකම් වේ.,சுருக்கம்,Law
1674,contractor,කොන්ත‍්‍රාත්කරු,ஒப்பந்தக்காரன்,Law
1675,contractual disability,ගිවිසුම් අශක්නුතාව,ஒப்பந்த தகுதியீனம்,Law
1676,contractual obligation,ගිවිසුම් බන්ධනය,கடப்பாட்டு ஒப்பந்தம்,Law
1677,contractual relationship,ගිවිසුම් සම්බන්ධය,ஒப்பந்த உறவு,Law
1678,contractual rights,ගිවිසුම් අයිතිවාසිකම්,ஒப்பந்த உரிமை,Law
1679,contractual tenancy,ගිවිසුම් ගත කුලී නිවැසියාව,ஒப்பந்தம் செய்து கொண்ட குத்தகைக்காரர்,Law
1680,contradiction,නීති විරෝධී ප‍්‍රතිෂ්ඨාවක් නිසා හෝ සුචරිතයට විරුද්ධවීම නිසා හෝ ජනිතවන ගිවිසුමක් ශූන්‍යවේ.,மறுதலிப்பு,Law
1681,contradictory,පරස්පර විරෝධී,மறுதலிப்பான,Law
1682,contradictory statements,පරස්පර විරෝධී ප‍්‍රකාශ,முரன்பாடான அறிக்கைகள்,Law
1683,contrariness,පටහැනිතාව; ප්‍රති විරුද්ධ බව,செயல்முரண்,Law
1684,contrary,පටහැනි චේතනාව,மறுதலையான,Law
1685,contrary intention,නීතියට විරුද්ධ,மறுதலையான முன்னம்,Law
1686,contrary to law,කඩ කරනවා;  උල්ලංඝනය කරනවා,சட்டமுரணான,Law
1687,contravene,කඩ කිරීම;  උල්ලංඝනය කිරීම,மீறு,Law
1688,contravention,දායක මුදල,மீறுகை,Law
1689,contribution,දායකයා,உதவுதொகை; பங்களிப்பு,Law
1690,contributor,දායක;  සහායක,உதவுநர்; பங்களிப்பு செய்வோன்,Law
1691,contributory,සහායක නොසැලකිල්ල,உடனுதவும்,Law
1692,contributory negligence,දායක විශ‍්‍රාම වැටුප,தன்வயக் கவனமின்மை,Law
1693,contributory pension,මතභේදයට තුඩුදෙන,உடனுதவும் ஓய்வூதியம்,Law
1694,controversial,මතභේදය; වාදය,வாக்குவாத,Law
1695,controversy,අකීකරු ලෙස  ; අවමානය,வாக்குவாதம்; சர்ச்சை,Law
1696,contumaciously,අවඥා සහගත අශිලාචාර හැසිරීම,அவமதிப்பான,Law
1697,counterfoil of cheque,චෙක්පතේ පිළිපත,காசோலை அடித்தாள்,Law
1698,court of requests,රික්වේස්ට් අධිකරණය,கோரிக்கை நீதிமன்றம்,Law
1699,criminal knowledge,වරදකරී දැනුම,குற்ற அறிவு,Law
1700,criminal proceedings,අපරාධ නීති කෘත්‍ය,குற்றவியல் வழக்கு நடவடிக்கைகள்,Law
1701,Criminal session,අපරාධ සැසි වාරය,குற்றவியல் கூட்டத் தொடர்,Law
1702,crossed cheque,රේඛීය චෙක්පත,குறுக்குக்கோடிட்ட காசோலை,Law
1703,damage,අලාභ හානිය,சேதம்,Law
1704,damage feasant,අලාභ හානි කරන සතුන් රඳවා ගැනීමේ අයිතිය,சேதச்செயல்,Law
1705,damage non-feasant,හානිකරන සතුන් රුඳවිය නොහැකි බව,சேதமிலாச் செயல்,Law
1706,damage to property,දේපළවලට හානිය,ஆதனத்துக்குச் சேதம்,Law
1707,damage to reputation,කීර්තියට හානිය,கீர்த்திக்கு ஊறுபாடு,Law
1708,damages,පලුදු,சேதவீடு,Law
1709,damnum,අලාභය,இழப்பு,Law
1710,danger,අන්තරාය,அபாயம்,Law
1711,dangerous,අන්තරායදායක; අන්තරායකර,அபாயகரமான,Law
1712,dangerous character,අන්තරායදායක පුද්ගලයා,அபாயகரமான பண்புடையவர்,Law
1713,dangerous driving,අන්තරායදායක රිය පැදැවීම,அபாயகரமான ஓட்டுகை,Law
1714,dangerous drugs,අන්තරායකර ඹෟෂධ,அபாயகரமான ஒளடதங்கள்,Law
1715,dangerous or offensive weapon,අන්තරායදායක හෝ පීඩාකාරී ආයුධය,அபாயகரமான அல்லது தாக்கும் ஆயுதம்,Law
1716,data,දත්ත,தரவு,Law
1717,date of acceptance,ප‍්‍රතිග‍්‍රහණ දිනය,ஏற்றுக்கொண்ட திகதி,Law
1718,date of assent,අනුමතකළ දිනය,இசைவுத் திகதி,Law
1719,date of issue,නිකුත්කළ දිනය,வழங்குதிகதி,Law
1720,date of operation,ක‍්‍රියාත්මක වන දිනය,நடைமுறைக்குவரும் திகதி,Law
1721,date of redemption,නිදහස් කර ගැනීමේ දිනය,மீட்புத் திகதி,Law
1722,date of trial,නඩු දිනය,விளக்க நாள்,Law
1723,datum,දත්තය,தரவு,Law
1724,day book,දෛනික පොත,நாளேடு,Law
1725,day of nomination,නාම යෝජනා දිනය,பெயர்குறித்த நியமனத் திகதி,Law
1726,days of grace,අනුග‍්‍රහ දින; සහන කාලය,தண்ணளி நாட்கள் ;சலுகை நாட்கள் ;/ சகாய நாள்கள்; தயவுக்காலம்,Law
1727,de facto separation,තත්ත්වාකාර වෙන්වීම,நிகழ்நிலைப் பிரிவு,Law
1728,de jure,නීතියෙන්; නීති ප‍්‍රකාර,சட்டப்படியான,Law
1729,de novo,අලුතෙන්;  මුල සිට,புதுவதாக; மீளமுதலிருந்து  பழையபடி ;புதிதாக; மறுபடியும் ;முதலிலிருந்தே,Law
1730,dead freight,හිස්‍ නැව් කුලිය,வெற்றுக் கேள்வு,Law
1731,dead letter,අවලංගු නීතිය,வழக்கிலி,Law
1732,dead letter office,නොබෙදූ ලියුම් කාර්යාලය,சேர்படாக் கடித அலுவலகம்,Law
1733,dead weight,නැවක් පුරවා ගෙන යන බර; හිස් වාහනයේ බර,கப்பற்சரக்கு மொத்தப்பழு,Law
1734,deadly weapon,මාරක අවිය,கொடிய ஆயுதம்,Law
1735,deal,ක‍්‍රියා කරනවා;  ගනුදෙනු කරනවා,கையாளு; உடம்பாடு,Law
1736,dealer,වෙළෙන්‍‍‍ඳා; ගනුදෙනුකරු,கையாளுபவர்; வியாபாரி,Law
1737,dealer's license,වෙළෙඳ ගනුදෙනුව,வியாபார உரிமம்,Law
1738,dealings,ගනුදෙනු,விவகாரங்கள்,Law
1739,death bed,මරණ මංචකය,மரணப்படுக்கை,Law
1740,death bed transfer,මරණ මංචක පැවරීම,மரணப்படுக்கைச் சொத்துமாற்றம்,Law
1741,death by violence,සාහසික අපරාධයකින් වූ මරණය;  සැහැසි මරණය,வன்முறை மரணம்,Law
1742,death duty,මරාල බද්ද,மரணச் சொத்துத் தீர்வை,Law
1743,death penalty,මරණීය දඩුවම,மரண தண்டனை,Law
1744,death under suspicious circusmtance,සැක කටයුතු අවස්ථානුගත කරුණු යටතේ වූ මරණය,சந்தேகத்திற்கிடமான முறையிலான மரணம்,Law
1745,deathbed devise,මරණාසන්න අන්තිම කැමති,மரணத்தறுவாயில் எழுதப்படுகின்ற மரணசாசனம்,Law
1746,deathbed marriage,මරණමංචක විවාහය,மரணப்படுக்கை விவாகம்,Law
1747,debatable decision,විවාදශිලී තීරණය,விவாதிக்கத்தக்க முடிவு,Law
1748,debate,විවාදය,விவாதம்,Law
1749,debenture,ඍණ පත‍්‍රය,தொகுதிக் கடன்,Law
1750,debenture capital,ඍණ පත‍්‍ර ප‍්‍රාග්ධනය,தொகுதிக் கடன் மூலதனம்,Law
1751,debenture discount,ඍණ පත‍්‍ර වට්ටම,தொகுதிக் கடன் கழிவீடு,Law
1752,debenture issue,ඍණ පත‍්‍ර නිකුත් කිරීම,தொகுதிக் கடன் வழங்கல்,Law
1753,debenturestocks,ඍණ ස්කන්ධ,தொகுதிக் கடன் தொக்குகள்,Law
1754,debenture trust deed,ඍණ භාරකාර ඔප්පුව,தொகுதிக் கடன் நம்பிக்கைப்பொறுப்புப் பத்திரம்,Law
1755,debit,හර කරනවා,பற்று,Law
1756,debit balance,හර ශේෂය,பற்று மீதி,Law
1757,debit note,හර පත‍්‍රය,பற்றுக் குறிப்பு,Law
1758,debt,ණය,கடன்; தனிசு,Law
1759,debt conciliation,ණය සමථය කිරීම,கடனிணக்கம்,Law
1760,debt conversion,ණය පරිවර්තනය,கடன் மாற்றுகை,Law
1761,debt insurance,ණය රක්ෂණය,கடன் காப்புறுதி,Law
1762,debt recovery,ණය අයකරගැනීම,கடன் அறவிடல்,Law
1763,debt redemption,ණය බේරාදීම,கடன் மீட்பு,Law
1764,debtor,ණයකරු,கடனாளி,Law
1765,debtor's petition,ණයකරු පෙත්සම,கடனாளி மனு,Law
1766,debts and liabilities,ණය හා ආධීනතා,கடன்களும் பொறுப்புகளும்,Law
1767,deceased,මියගිය,இறந்த; இறந்தவர்,Law
1768,deceased defendant,මියගිය විත්තිකරු,இறந்த எதிர்வாதி,Law
1769,deceased person,මියගිය තැනැත්තා,இறந்த ஆள்,Law
1770,deceit,වංචාව,வஞ்சகம்; ஏமாற்றுதல்,Law
1771,deceitful means,වංචනික උපක‍්‍රම,ஏமாற்று வழிவகை,Law
1772,decency,විනීතතාව,கண்ணியம்; பண்புநலம்,Law
1773,decentralize,විමධ්‍යගත කරනවා,பன்முகப்படுத்தல்,Law
1774,deception,වංචාව;  ප‍්‍රයෝගය,ஏமாற்றுகை; வஞ்சிப்பு,Law
1775,decided,තීරණය කළ,முடிவு செய்யப்பட்ட,Law
1776,decided cases,තීරණය කළ නඩු,முடிவு செய்த வழக்குகள்,Law
1777,deciding authority,තීරණය කරන බලධරයා,முடிவு செய்யும் அதிகாரி/அதிகாரம்,Law
1778,decision,තීරණය; තීන්දුව,முடிவு,Law
1779,decisive,තීරණාත්මක,முடிவான,Law
1780,decisive evidence,තීරණාත්මක සාක්ෂි,முடிவான சான்று,Law
1781,decisive factor,තීරණාත්මක සාධකය,முடிவுசெய்யும் காரணி,Law
